序号,关系样本ID,事件样本ID,查询ID,公司,证券代码,行业,检索截止时间,查询假设,候选公告标题,候选原文链接,相关性等级,关系路径可成立,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间,gold_source,gold_version
90,G3-R-E110-H2,G3-E110,688981-H2,中芯国际,688981,芯片半导体,2025-12-30T00:00:00+08:00,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,独立董事关于发行股份购买资产暨关联交易相关事项的的独立意见,http://static.cninfo.com.cn/finalpage/2025-12-30/1224907027.PDF,1-弱相关,是,第1页：买资产暨关联交易相关事项，基于独立判断发表如下独 立意见： 公司拟以发行股份的方式购买国家集成电路产业投资基金股份有限公司（以下简称 “国家集成电路基金”）、北京集成电路制造和装备股权投资中心（有限合伙）（以下简称 “集成电路投资中心”）、北京亦庄国际投资发展有限公司（以下简称“亦庄国投”）、中关 村发展集团股份有限公司（以下简称“中关村发展”）、北京工业发展投资管理有限公司 （以下简称“北京工投”）等 5 名交易对方（以下单称或合称“交易对方”）合计持有的中 芯北方集成电路制造（北京）有限公司（以下简称“中芯北方”）49%股权（以下简称“标 的资产”，前述交易以下简称“本次交易”）。我们已认…,公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
91,G3-R-E080-H3,G3-E080,600276-H3,恒瑞医药,600276,医药,2025-12-03T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2025-12-03/1224843478.PDF,3-直接相关,是,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2025-192 江苏恒瑞医药股份有限公司 关于药品上市许可申请获受理的提示性公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家药品监督 管理局（以下简称“国家药监局”）下发的《受理通知书》，公司注射用甲苯磺 酸瑞马唑仑的药品上市许可申请获国家药监局受理。现将相关情况公告如下： 一、药品的基本情况 药品名称：注射用甲苯磺酸瑞马唑仑 剂型：注射剂 受理号：CXHS2500146 申报阶段：上市…,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
92,G3-R-E084-H2,G3-E084,002371-H2,北方华创,002371,芯片半导体,2024-04-13T00:00:00+08:00,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,2023年度业绩快报,http://static.cninfo.com.cn/finalpage/2024-04-13/1219597439.PDF,2-间接相关,是,"第1页：12,128.24 2,867,452,595.74 55.12% 利润总额 4,465,587,698.68 2,854,480,329.68 56.44% 归属于上市公司股东的净利润 3,899,069,987.91 2,352,726,657.86 65.73% 扣除非经常性损益后的归属于 上市公司股东的净利润 3,581,368,813.58 2,106,066,422.59 70.05% 基本每股收益 7.3623 4.4612 65.03% 加权平均净资产收益率 17.88% 12.96% 4.92% 项 目 本报告期末 本报告期初 增减变动幅度 总资产 53,624,552,27…",收入增长50.32%、归母净利润增长65.73%可通过规模效应支持盈利质量，但公告未直接披露毛利率或竞争影响，故为间接相关。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
93,G3-R-E064-H1,G3-E064,00175-H1,吉利汽车,00175,新能源汽车,2025-02-14T16:36:12+08:00,新能源车型销量放量带动整体销量增长，出口贡献增量,完成须予披露及关连交易(1)极氪收购领克销售股份；及(2)极氪认购领克新增资本,http://static.cninfo.com.cn/finalpage/2025-02-14/1222544267.PDF,2-间接相关,是,第1页：會就因本公佈全部或任何部份內容而產生 或因倚賴該等內容而引致之任何損失承擔任何責任。 GEELY AUTO MOBILE HOL DINGS LIMI TED 175 80175 完成須予披露及關連交易 (1)極氪收購領克銷售股份；及 (2)極氪認購領克新增資本 茲提述吉利汽車控股有限公司 （ 「本公司」 ） 日期為二零二四年十一月十四日之公佈 （ 「該公 佈」 ） 及日期為二零二四年十二月二十日之通函 （ 「該通函」 ） ，內容有關須予披露及關連交 易 （即領克收購事項及領克注資事項） 。除文義另有所指外，本公佈所用詞彙與該公佈及 該通函所界定者具有相同涵義。 本公司董事會 （ 「董事會」…,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
94,G3-R-E112-H3,G3-E112,603259-H3,药明康德,603259,医药,2025-09-03T00:00:00+08:00,新增产能与地缘政治风险可控，海外基地建设按计划推进,关于与关联方签署框架协议暨日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-09-03/1224634480.PDF,1-弱相关,否,第1页：1 证券代码：603259 证券简称：药明康德 公告编号：临 2025-060 无锡药明康德新药开发股份有限公司 关于与关联方签署框架协议暨日常关联交易的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 重要内容提示：  本次交易系无锡药明康德新药开发股份有限公司（以下简称“公司”）及 公司合并报表范围内的下属子企业（以下合称“本集团”）在日常经营业务中发 生的交易，符合本集团正常生产经营的需要，均为正常的商业安排。本次交易按 一般商务条款订立，关联交易价格严格遵循公开、公平、公正及市场化定价原则， 并通…,关联交易金额因服务需求增长而上调，未披露新增产能、海外基地或地缘风险，无法建立到H3的有效业务路径。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
95,G3-R-E091-H1,G3-E091,603259-H1,药明康德,603259,医药,2026-03-24T00:00:00+08:00,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,关于2025年度计提资产减值准备的公告,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025227.PDF,1-弱相关,是,第1页：1 证券代码：603259 证券简称：药明康德 公告编号：临 2026-010 无锡药明康德新药开发股份有限公司 关于 2025 年度计提资产减值准备的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 一、2025 年度计提减值损失的情况 根据《企业会计准则》和相关会计政策等规定，为真实、准确地反映无锡药 明康德新药开发股份有限公司（以下简称“公司”）截至 2025 年 12 月 31 日的 财务状况及 2025 年的经营成果，公司对合并范围内的相关资产进行了清查，基 于谨慎性原则，对可能发生减值损失的相关…,资产减值可能与客户项目、存货或业务需求有关，但公告未说明减值来源与订单或在手订单的关系，故仅弱相关。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
96,G3-R-E007-H2,G3-E007,603259-H2,药明康德,603259,医药,2024-03-19T00:00:00+08:00,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,关于募集资金存放与实际使用情况的专项报告及审核报告（截至2023年12月31日止）,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331371.PDF,2-间接相关,是,第4页：补充流动资金的议案》，同意公司将 A 股首次公开发行募 投项目整体结项并将节余募集资金永久补充流动资金。截至 2023 年 12 月 31 日，上述节余募集资 金永久补充流动资金已完成，公司已注销相关募集资金专户。公司与保荐机构、 A 股首次公开发 行子公司、开户银行签署的相关募集资金专户存储监管协议已随之终止,募集资金投入及扩建项目达到预计效益，可经产能投用和项目结构影响产能利用率与毛利率，存在一层清晰因果链，但未直接披露毛利率。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
97,G3-R-E043-H1,G3-E043,688981-H1,中芯国际,688981,芯片半导体,2026-05-15T00:00:00+08:00,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,中芯国际2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-05-15/1225307101.PDF,2-间接相关,是,第2页：则，一季度，公司实现销售收入 25.05 亿美元，环比增长 0.7%；毛利率 为 20.1%，环比增加 0.9 个百分点。 二季度，公司给出的收入指引为环比增长 14%到 16%，毛利率指引为 20%-22%，与上一季指引 相比提升 2 个百分点。 基于客户需求和在手订单情况，相较于上个季度，我们对于今年的整体运营情况更加乐观。 公司将紧密跟踪客户需求，灵活调配资源，加快产品响应速度，确保在复杂环境中依然能保持高 质量的交付,收入增长、客户需求和在手订单改善可间接支持晶圆出货与产能利用率回升，但公告证据未直接给出晶圆出货、利用率或国产替代占比。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
98,G3-R-E112-H2,G3-E112,603259-H2,药明康德,603259,医药,2025-09-03T00:00:00+08:00,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,关于与关联方签署框架协议暨日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-09-03/1224634480.PDF,2-间接相关,是,第1页：1 证券代码：603259 证券简称：药明康德 公告编号：临 2025-060 无锡药明康德新药开发股份有限公司 关于与关联方签署框架协议暨日常关联交易的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 重要内容提示：  本次交易系无锡药明康德新药开发股份有限公司（以下简称“公司”）及 公司合并报表范围内的下属子企业（以下合称“本集团”）在日常经营业务中发 生的交易，符合本集团正常生产经营的需要，均为正常的商业安排。本次交易按 一般商务条款订立，关联交易价格严格遵循公开、公平、公正及市场化定价原则， 并通…,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
99,G3-R-E034-H1,G3-E034,603986-H1,兆易创新,603986,芯片半导体,2024-08-21T00:00:00+08:00,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,兆易创新2024年半年度募集资金存放与实际使用情况专项报告,http://static.cninfo.com.cn/finalpage/2024-08-21/1220923954.PDF,2-间接相关,是,第3页：于使用部分闲置募集资金暂时补充流动资金的议案》，公司拟使 用额度不超过 20 亿元人民币的部分闲置募集资金暂时补充流动资金，使用期限自公司 董事会审议通过之日起不超过 12 个月，募投项目需要或到期时将归还至募集资金专户。 截至2024 年 6 月 30 日，公司使用闲置募集资金暂时补充流动资金金额为 20 亿元。 （四）2024 年 1-6 月对闲置募集资金进行现金管理，投资相关产品情况 公司于2023 年4 月26 日召开了第四届董事会第九次会议及第四届监事会第八次会 议， 审议通过了 《关于使用2020 年非公开发行股票闲置募集资金进行现金管理的议案》 ， 在确保不影响募集资金投资项目建…,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
100,G3-R-E120-H1,G3-E120,09868-H1,小鹏汽车,09868,新能源汽车,2024-04-17T17:18:27+08:00,智能车交付量保持增长，新车型周期带动需求回升,自愿公告 与大众汽车集团签订电子电气架构技术战略合作框架协议,http://static.cninfo.com.cn/finalpage/2024-04-17/1219647424.PDF,2-间接相关,是,第1页：性或完整性亦 不發表聲明，並明確表示概不會就本公告全部或任何部分內容而產生或因依賴該等內容而引致之任何損失 承擔任何責任。 自願公告 與大眾汽車集團簽訂電子電氣架構技術戰略合作框架協議 茲提述XPeng Inc. （「本公司」或「小鵬汽車」）日期為2023年7月26日及2023年12月6 日有關大眾收購小鵬汽車 4.99%股份及雙方達成戰略技術合作框架協議的相關公告 （「該等公告」）。小鵬汽車與大眾汽車集團共同宣佈，小鵬汽車與大眾汽車集團簽 訂電子電氣架構（「電子電氣架構」）技術戰略合作框架協議。除另有界定者外，本 公告所用詞彙與該等公告所界定者具有相同涵義。 小鵬汽車自主研發的行業領先的電子…,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
101,G3-R-E004-H1,G3-E004,603986-H1,兆易创新,603986,芯片半导体,2026-07-30T00:00:00+08:00,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,兆易创新股东增持股份计划公告,http://static.cninfo.com.cn/finalpage/2026-07-30/1225447344.PDF,0-无关,否,第1页：重要内容提示：  增持主体的基本情况：本次增持主体为兆易创新科技集团股份有限公司（以 下简称“公司”）控股股东、实际控制人朱一明先生。,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
102,G3-R-E068-H3,G3-E068,002594-H3,比亚迪,002594,新能源汽车,2026-04-02T00:00:00+08:00,海外工厂与产能扩张按计划落地，不出现大额投资减值,2026年3月产销快报,http://static.cninfo.com.cn/finalpage/2026-04-02/1225072597.PDF,1-弱相关,否,"第1页：没有虚假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司(以下简称“本公司”)2026年3月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 300,399 395,091 708,037 1,057,079 -33.02% 300,222 377,420 700,463 1,000,804 -30.01% -乘用车 295,412 388,877 695,772 1,041,899 -33.22% 295,693 371,419 688,993 986,098 -30.13% -纯电动…",销量同比下降反映需求压力，但未披露海外工厂、产能项目或投资减值，无法单凭销量建立海外扩张是否落地的可信路径。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
103,G3-R-E034-H2,G3-E034,603986-H2,兆易创新,603986,芯片半导体,2024-08-21T00:00:00+08:00,毛利率随产品结构改善回升，不因存储价格波动持续走低,兆易创新2024年半年度募集资金存放与实际使用情况专项报告,http://static.cninfo.com.cn/finalpage/2024-08-21/1220923954.PDF,2-间接相关,是,第3页：于使用部分闲置募集资金暂时补充流动资金的议案》，公司拟使 用额度不超过 20 亿元人民币的部分闲置募集资金暂时补充流动资金，使用期限自公司 董事会审议通过之日起不超过 12 个月，募投项目需要或到期时将归还至募集资金专户。 截至2024 年 6 月 30 日，公司使用闲置募集资金暂时补充流动资金金额为 20 亿元。 （四）2024 年 1-6 月对闲置募集资金进行现金管理，投资相关产品情况 公司于2023 年4 月26 日召开了第四届董事会第九次会议及第四届监事会第八次会 议， 审议通过了 《关于使用2020 年非公开发行股票闲置募集资金进行现金管理的议案》 ， 在确保不影响募集资金投资项目建…,DRAM募投项目已投入资金，可通过产能与产品结构变化影响毛利率，存在一层业务路径；未直接披露产品价格或毛利率，因此定为间接相关。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
104,G3-R-E101-H2,G3-E101,00175-H2,吉利汽车,00175,新能源汽车,2026-02-01T21:20:12+08:00,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,未经审核之二零二六年一月销量,http://static.cninfo.com.cn/finalpage/2026-02-01/1224961027.PDF,2-间接相关,是,"第1页：核之 二零二 六 年 一 月 銷量 吉利汽車控股有限公司( 「 本公司 」， 連同其附屬公司統稱為 「 本集團 」 ） 董事會欣然宣佈， 本集團於二零二 六 年 一 月 的 汽車 總銷量為270,167 部， 較去年同期 增長約1 % ， 其中出口總 銷量和極氪品牌總銷量 均 較去年同期實現翻倍增長。 詳細如下： 品牌 本月 （部） 去年同期 （部） 同比變動 (%) 今年累計 （部） 去年同期累計 （部） 同比變動 (%) 吉利 217,438 224,718 -3 217,438 224,718 -3 其中: 銀河 82,990 93,545 -11 82,990 93,545 -11 領…",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
105,G3-R-E016-H2,G3-E016,00175-H2,吉利汽车,00175,新能源汽车,2025-10-01T23:59:59+08:00,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,未经审核之二零二五年九月销量,http://static.cninfo.com.cn/finalpage/2025-10-01/1224697779.PDF,2-间接相关,是,"第1页：286,276 206 極氪 18,257 21,333 -14 143,600 142,873 1 領克 32,902 25,803 28 241,472 195,603 23 273,125 201,949 35 2,170,189 1,489,690 46 其中： 純電動(BEVs) 99,516 64,387 55 793,724 329,334 141 插電式混動(PHEVs) 65,685 26,747 146 374,099 216,520 73 其中： 出口 注1 40,665 40,319 1 296,128 319,121 -7 注1：出口指中華人民共和國（包括香港、澳門特",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
106,G3-R-E031-H1,G3-E031,603259-H1,药明康德,603259,医药,2024-01-03T00:00:00+08:00,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791594.PDF,0-无关,否,"第1页：重要内容提示： 本次行权股票数量： 无锡药明康德新药开发股份有限公司（以下简称 “公司”）2023 年第四季度激励对象行权且完成股份过户登记的股票期权数量 为 213,405 股，占 2019 年限制性股票与股票期权激励计划首次授予股票期权第 三个行权期（以下简称“本次行权”）可行权股票期权总量的12.62%。",公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
107,G3-R-E069-H1,G3-E069,002371-H1,北方华创,002371,芯片半导体,2024-02-29T00:00:00+08:00,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,关于2019年股票期权与限制性股票激励计划第三个行权期采用自主行权模式的提示性公告,http://static.cninfo.com.cn/finalpage/2024-02-29/1219208962.PDF,0-无关,否,第1页：特别提示： 1.公司 2019 年股权激励计划期权代码：037855；,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
108,G3-R-E070-H1,G3-E070,600276-H1,恒瑞医药,600276,医药,2024-04-10T00:00:00+08:00,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2024-04-10/1219549275.PDF,3-直接相关,是,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2024-032 江苏恒瑞医药股份有限公司 关于获得药物临床试验批准通知书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、 误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）及子公司上海盛迪 医药有限公司、广东恒瑞医药有限公司收到国家药品监督管理局（以下简称“国 家药监局”）核准签发关于 HRS-9231 注射液、SHR-4597 吸入剂和 SHR-2173 注 射液的《药物临床试验批准通知书》，将于近期开展临床试验。现将相关情况公 告如下： 一…,三项药物获得临床试验批准并将开展试验，是研发管线持续推进的直接阶段性证据。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
109,G3-R-E075-H2,G3-E075,603259-H2,药明康德,603259,医药,2026-04-28T00:00:00+08:00,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-28/1225200544.PDF,3-直接相关,是,"第2页：客户从药物发现、开发 到生产的服务需求。 一、主要财务数据 （一）主要会计数据和财务指标 单位：元 币种：人民币 项目 本报告期 上年同期 本报告期比上年同 期增减变动幅度(%) 营业收入 12,435,776,568.29 9,654,595,304.28 28.81 利润总额 5,607,280,256.21 4,279,893,550.88 31.01 归属于上市公司股东的净利润 4,651,517,987.76 3,671,960,950.47 26.68 归属于上市公司股东的扣除非 经常性损益的净利润 4,275,624,429.82 2,329,266,627.00 83.56 经…",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
110,G3-R-E069-H3,G3-E069,002371-H3,北方华创,002371,芯片半导体,2024-02-29T00:00:00+08:00,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,关于2019年股票期权与限制性股票激励计划第三个行权期采用自主行权模式的提示性公告,http://static.cninfo.com.cn/finalpage/2024-02-29/1219208962.PDF,0-无关,否,第1页：特别提示： 1.公司 2019 年股权激励计划期权代码：037855；,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
111,G3-R-E007-H1,G3-E007,603259-H1,药明康德,603259,医药,2024-03-19T00:00:00+08:00,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,关于募集资金存放与实际使用情况的专项报告及审核报告（截至2023年12月31日止）,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331371.PDF,2-间接相关,是,第4页：补充流动资金的议案》，同意公司将 A 股首次公开发行募 投项目整体结项并将节余募集资金永久补充流动资金。截至 2023 年 12 月 31 日，上述节余募集资 金永久补充流动资金已完成，公司已注销相关募集资金专户。公司与保荐机构、 A 股首次公开发 行子公司、开户银行签署的相关募集资金专户存储监管协议已随之终止,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
112,G3-R-E080-H2,G3-E080,600276-H2,恒瑞医药,600276,医药,2025-12-03T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2025-12-03/1224843478.PDF,1-弱相关,是,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2025-192 江苏恒瑞医药股份有限公司 关于药品上市许可申请获受理的提示性公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家药品监督 管理局（以下简称“国家药监局”）下发的《受理通知书》，公司注射用甲苯磺 酸瑞马唑仑的药品上市许可申请获国家药监局受理。现将相关情况公告如下： 一、药品的基本情况 药品名称：注射用甲苯磺酸瑞马唑仑 剂型：注射剂 受理号：CXHS2500146 申报阶段：上市…,上市申请受理尚需获批和商业化后才可能改变创新药占比与毛利率，对H2只是弱前置指标。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
113,G3-R-E110-H1,G3-E110,688981-H1,中芯国际,688981,芯片半导体,2025-12-30T00:00:00+08:00,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,独立董事关于发行股份购买资产暨关联交易相关事项的的独立意见,http://static.cninfo.com.cn/finalpage/2025-12-30/1224907027.PDF,1-弱相关,是,第1页：买资产暨关联交易相关事项，基于独立判断发表如下独 立意见： 公司拟以发行股份的方式购买国家集成电路产业投资基金股份有限公司（以下简称 “国家集成电路基金”）、北京集成电路制造和装备股权投资中心（有限合伙）（以下简称 “集成电路投资中心”）、北京亦庄国际投资发展有限公司（以下简称“亦庄国投”）、中关 村发展集团股份有限公司（以下简称“中关村发展”）、北京工业发展投资管理有限公司 （以下简称“北京工投”）等 5 名交易对方（以下单称或合称“交易对方”）合计持有的中 芯北方集成电路制造（北京）有限公司（以下简称“中芯北方”）49%股权（以下简称“标 的资产”，前述交易以下简称“本次交易”）。我们已认…,收购中芯北方49%股权与制造资产同主题，但独立董事意见和问询程序不反映晶圆出货、利用率或国产替代需求，对H1仅弱相关。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
114,G3-R-E035-H3,G3-E035,600276-H3,恒瑞医药,600276,医药,2024-05-22T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2024-05-22/1220121916.PDF,3-直接相关,是,"第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临2024-065 江苏恒瑞医药股份有限公司 关于获得药品注册证书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、 误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家药品监督 管理局（以下简称“国家药监局”）核准签发氟唑帕利胶囊的《药品注册证书》， 批准公司研发的1 类新药、PARP 抑制剂氟唑帕利胶囊新适应症上市,这是氟唑帕 利获批上市的第 3 个适应症，现将相关情况公告如下： 一、 药品的基本情况 药品名称：氟唑帕利胶囊 剂型：胶囊剂 规…",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
115,G3-R-E029-H3,G3-E029,600276-H3,恒瑞医药,600276,医药,2026-05-12T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于与百时美施贵宝公司签署战略合作及许可协议的公告,http://static.cninfo.com.cn/finalpage/2026-05-12/1225300018.PDF,2-间接相关,是,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-071 江苏恒瑞医药股份有限公司 关于与百时美施贵宝公司 签署战略合作及许可协议的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 江苏恒瑞医药股份有限公司（以下简称“公司”或“恒瑞”）与百时美施贵 宝公司（以下简称“BMS”）达成全球战略合作及许可协议，共同推进 13 款涵盖 肿瘤学、血液学及免疫学的早期项目，以加速创新药物研发，惠及全球患者。详 情如下： 一、交易对方基本信息 BMS 是一家全球性的生物制药公司，总部位于美国新泽西州，在…,与BMS合作覆盖13款早期研发项目并设置里程碑付款，可支持管线资源与推进判断；最终研发结果仍待验证，故为间接相关。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
116,G3-R-E068-H1,G3-E068,002594-H1,比亚迪,002594,新能源汽车,2026-04-02T00:00:00+08:00,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,2026年3月产销快报,http://static.cninfo.com.cn/finalpage/2026-04-02/1225072597.PDF,3-直接相关,是,"第1页：没有虚假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司(以下简称“本公司”)2026年3月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 300,399 395,091 708,037 1,057,079 -33.02% 300,222 377,420 700,463 1,000,804 -30.01% -乘用车 295,412 388,877 695,772 1,041,899 -33.22% 295,693 371,419 688,993 986,098 -30.13% -纯电动…",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
