序号,样本ID,公司,证券代码,行业,市场,披露时间,时间精度,公告标题,原文链接,核心观点,H1-需求与出货,H2-盈利质量,H3-产能与扩张,事件摘要,事件类别,主要关联假设,影响方向,影响强度,直接性,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间
105,G3-E001,兆易创新,603986,芯片半导体,A股,2026-08-01T00:00:00+08:00,仅日期（按盘后处理）,兆易创新第五届董事会第十四次会议决议公告,http://static.cninfo.com.cn/finalpage/2026-08-01/1225450991.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,,,,,,,,,,,,
106,G3-E034,兆易创新,603986,芯片半导体,A股,2024-08-21T00:00:00+08:00,仅日期（按盘后处理）,兆易创新2024年半年度募集资金存放与实际使用情况专项报告,http://static.cninfo.com.cn/finalpage/2024-08-21/1220923954.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,,,,,,,,,,,,
107,G3-E047,恒瑞医药,600276,医药,A股,2026-02-06T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2026-02-06/1224968189.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
108,G3-E087,云南白药,000538,医药,A股,2024-02-28T00:00:00+08:00,仅日期（按盘后处理）,关于发行超短期融资券获准注册的公告,http://static.cninfo.com.cn/finalpage/2024-02-28/1219198280.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,,,,,,,,,,,
109,G3-E053,中芯国际,688981,芯片半导体,A股,2026-03-27T00:00:00+08:00,仅日期（按盘后处理）,中芯国际2025年度内部控制评价报告,http://static.cninfo.com.cn/finalpage/2026-03-27/1225037110.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,,,,,,,,,,,,
110,G3-E014,小鹏汽车,09868,新能源汽车,港股,2024-04-02T12:07:33+08:00,精确,自愿公告 2024年3月及第一季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-04-02/1219499685.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,,,,,,,,,,,,
111,G3-E086,恒瑞医药,600276,医药,A股,2026-05-20T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于获得药品注册批准的公告,http://static.cninfo.com.cn/finalpage/2026-05-20/1225315769.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
112,G3-E039,吉利汽车,00175,新能源汽车,港股,2026-08-02T18:14:26+08:00,精确,月报表截至31/7/2026,http://static.cninfo.com.cn/finalpage/2026-08-02/1225452827.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,,,,,,,,,,,,
113,G3-E067,北方华创,002371,芯片半导体,A股,2026-06-23T00:00:00+08:00,仅日期（按盘后处理）,关于放弃参股公司增资优先认购权暨关联交易的公告,http://static.cninfo.com.cn/finalpage/2026-06-23/1225381704.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,,,,,,,,,,,
114,G3-E079,云南白药,000538,医药,A股,2024-12-18T00:00:00+08:00,仅日期（按盘后处理）,关于2024年度第一期超短期融资券（科创票据/乡村振兴）兑付完成的公告,http://static.cninfo.com.cn/finalpage/2024-12-18/1222047993.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,,,,,,,,,,,
115,G3-E015,恒瑞医药,600276,医药,A股,2025-01-10T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2025-01-10/1222283951.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
116,G3-E009,比亚迪,002594,新能源汽车,A股,2024-11-02T00:00:00+08:00,仅日期（按盘后处理）,2024年10月产销快报,http://static.cninfo.com.cn/finalpage/2024-11-02/1221604106.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,,,,,,,,,,,,
117,G3-E030,恒瑞医药,600276,医药,A股,2026-01-06T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2026-01-06/1224919037.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
118,G3-E008,吉利汽车,00175,新能源汽车,港股,2026-07-23T17:48:11+08:00,精确,自愿公布收购西班牙一间目标公司34%的股权及成立一间合营公司从事乘用车合约生产,http://static.cninfo.com.cn/finalpage/2026-07-23/1225439110.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,,,,,,,,,,,,
119,G3-E081,小鹏汽车,09868,新能源汽车,港股,2025-03-03T19:18:14+08:00,精确,自愿公告2025年2月智能车交付数据,http://static.cninfo.com.cn/finalpage/2025-03-03/1222693592.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,,,,,,,,,,,,
120,G3-E114,北方华创,002371,芯片半导体,A股,2024-01-16T00:00:00+08:00,仅日期（按盘后处理）,2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-16/1218892163.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,,,,,,,,,,,
