任务类型,样本ID,A结果,A理由,B结果,B理由,裁决结果,裁决理由,裁决人ID,裁决时间
graph_relevance,G3-R-E051-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""0-无关""}",候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。,,,,
graph_relevance,G3-R-E052-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。,,,,
graph_relevance,G3-R-E052-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",管线进展可经创新药占比和产品结构影响盈利质量，但尚未直接披露毛利率或集采影响。,,,,
graph_relevance,G3-R-E055-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。,,,,
graph_relevance,G3-R-E055-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",公告事实直接对应查询假设中的核心业务变量，时间边界内可建立可复核关系路径。,,,,
graph_relevance,G3-R-E058-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",定期报告直接披露查询假设所需的收入、订单、毛利率、研发投入、产能或减值指标，可建立完整关系路径。,,,,
graph_relevance,G3-R-E058-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",定期报告直接披露查询假设所需的收入、订单、毛利率、研发投入、产能或减值指标，可建立完整关系路径。,,,,
graph_relevance,G3-R-E060-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E064-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。,,,,
graph_relevance,G3-R-E068-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E070-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。,,,,
graph_relevance,G3-R-E070-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",管线进展可经创新药占比和产品结构影响盈利质量，但尚未直接披露毛利率或集采影响。,,,,
graph_relevance,G3-R-E071-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""0-无关""}",候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。,,,,
graph_relevance,G3-R-E071-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""0-无关""}",候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。,,,,
graph_relevance,G3-R-E071-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""0-无关""}",候选公告属于治理、证券变动或程序性披露，不回答该查询假设，也不提供有效业务关系证据。,,,,
graph_relevance,G3-R-E073-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E075-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",定期报告直接披露查询假设所需的收入、订单、毛利率、研发投入、产能或减值指标，可建立完整关系路径。,,,,
graph_relevance,G3-R-E075-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",定期报告直接披露查询假设所需的收入、订单、毛利率、研发投入、产能或减值指标，可建立完整关系路径。,,,,
graph_relevance,G3-R-E080-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。,,,,
graph_relevance,G3-R-E080-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",管线进展可经创新药占比和产品结构影响盈利质量，但尚未直接披露毛利率或集采影响。,,,,
graph_relevance,G3-R-E081-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E082-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",定期报告直接披露查询假设所需的收入、订单、毛利率、研发投入、产能或减值指标，可建立完整关系路径。,,,,
graph_relevance,G3-R-E082-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",定期报告直接披露查询假设所需的收入、订单、毛利率、研发投入、产能或减值指标，可建立完整关系路径。,,,,
graph_relevance,G3-R-E084-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",公告事实直接对应查询假设中的核心业务变量，时间边界内可建立可复核关系路径。,,,,
graph_relevance,G3-R-E084-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。,,,,
graph_relevance,G3-R-E084-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E086-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。,,,,
graph_relevance,G3-R-E086-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",管线进展可经创新药占比和产品结构影响盈利质量，但尚未直接披露毛利率或集采影响。,,,,
graph_relevance,G3-R-E089-H1,"{""关系路径可成立"": ""否"", ""相关性等级"": ""0-无关""}",公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。,,,,
graph_relevance,G3-R-E089-H2,"{""关系路径可成立"": ""否"", ""相关性等级"": ""0-无关""}",公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。,,,,
graph_relevance,G3-R-E089-H3,"{""关系路径可成立"": ""否"", ""相关性等级"": ""0-无关""}",公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",公告事实直接对应查询假设中的核心业务变量，时间边界内可建立可复核关系路径。,,,,
graph_relevance,G3-R-E091-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。,,,,
graph_relevance,G3-R-E091-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E092-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E094-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",定期报告直接披露查询假设所需的收入、订单、毛利率、研发投入、产能或减值指标，可建立完整关系路径。,,,,
graph_relevance,G3-R-E094-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",定期报告直接披露查询假设所需的收入、订单、毛利率、研发投入、产能或减值指标，可建立完整关系路径。,,,,
graph_relevance,G3-R-E095-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。,,,,
graph_relevance,G3-R-E098-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E101-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E103-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。,,,,
graph_relevance,G3-R-E103-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",管线进展可经创新药占比和产品结构影响盈利质量，但尚未直接披露毛利率或集采影响。,,,,
graph_relevance,G3-R-E105-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。,,,,
graph_relevance,G3-R-E105-H2,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",管线进展可经创新药占比和产品结构影响盈利质量，但尚未直接披露毛利率或集采影响。,,,,
graph_relevance,G3-R-E105-H3,"{""关系路径可成立"": ""否"", ""相关性等级"": ""0-无关""}",公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。,,,,
graph_relevance,G3-R-E107-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",公告事实直接对应查询假设中的核心业务变量，时间边界内可建立可复核关系路径。,,,,
graph_relevance,G3-R-E107-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E108-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",定期报告直接披露查询假设所需的收入、订单、毛利率、研发投入、产能或减值指标，可建立完整关系路径。,,,,
graph_relevance,G3-R-E108-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",定期报告直接披露查询假设所需的收入、订单、毛利率、研发投入、产能或减值指标，可建立完整关系路径。,,,,
graph_relevance,G3-R-E109-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E110-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。,,,,
graph_relevance,G3-R-E112-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
graph_relevance,G3-R-E118-H1,"{""关系路径可成立"": ""是"", ""相关性等级"": ""2-间接相关""}",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",定期报告直接披露查询假设所需的收入、订单、毛利率、研发投入、产能或减值指标，可建立完整关系路径。,,,,
graph_relevance,G3-R-E118-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""是"", ""相关性等级"": ""3-直接相关""}",定期报告直接披露查询假设所需的收入、订单、毛利率、研发投入、产能或减值指标，可建立完整关系路径。,,,,
graph_relevance,G3-R-E120-H3,"{""关系路径可成立"": ""是"", ""相关性等级"": ""1-弱相关""}",公告与查询假设存在同业务主题或弱因果联系，但增量信息有限，不宜作为Top-1核心证据。,"{""关系路径可成立"": ""否"", ""相关性等级"": ""1-弱相关""}",公告反映需求或盈利表现，但未直接披露产能、研发投入或扩张执行，对查询假设仅有弱主题关联。,,,,
