序号,样本ID,公司,证券代码,行业,市场,披露时间,时间精度,公告标题,原文链接,核心观点,H1-需求与出货,H2-盈利质量,H3-产能与扩张,事件摘要,事件类别,主要关联假设,影响方向,影响强度,直接性,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间,gold_source,gold_version
96,G3-E045,恒瑞医药,600276,医药,A股,2026-01-08T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于获得药品注册批准的公告,http://static.cninfo.com.cn/finalpage/2026-01-08/1224923160.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,公司披露恒瑞医药关于获得药品注册批准的公告，核心事实为：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-004 江苏恒瑞医药股份有限公司 关于获得药品注册批准的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）子公司苏…,研发/注册,H3-产能与扩张,支持,高,直接,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-004 江苏恒瑞医药股份有限公司 关于获得药品注册批准的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）子公司苏州盛迪亚 生物医药有限公司收到国家药品监督管理局（以下简称“国家药监局”）的通知， 批准公司自主研发的 1 类创新药瑞拉芙普α注射液上市。现将相关情况公告如下： 一、药品的基本情况 药品名称：瑞拉芙普α注射液 剂型：注射剂 规格：300mg（6ml）/瓶 注册分类：治疗用生物制品…,自主研发1类创新药瑞拉芙普α注射液获批上市，是已落地的重大注册里程碑，直接验证管线推进，主要关联H3且强度高。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
97,G3-E003,兆易创新,603986,芯片半导体,A股,2026-07-22T00:00:00+08:00,仅日期（按盘后处理）,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-07-22/1225435926.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,公司披露中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司增资以实施DRAM募投项目的核查意见，核心事实为：1 中国国际金融股份有限公司 关于兆易创新科技集团股份有限公司 使用 A股部分募集资金向全资子公司增资 以实施 DRAM 募投项目的核查意见 中国国际金融股份有限公司（以下简称“中金公司”或“保荐机构”）作为兆易创新科 技集团股份有限公司（以下简称“兆易创新”或“公司”）2020 年非公开发行股票的保荐机 构，根据《证…,产能/资本开支,H3-产能与扩张,支持,高,直接,第1页：1 中国国际金融股份有限公司 关于兆易创新科技集团股份有限公司 使用 A股部分募集资金向全资子公司增资 以实施 DRAM 募投项目的核查意见 中国国际金融股份有限公司（以下简称“中金公司”或“保荐机构”）作为兆易创新科 技集团股份有限公司（以下简称“兆易创新”或“公司”）2020 年非公开发行股票的保荐机 构，根据《证券发行上市保荐业务管理办法》 《上市公司募集资金监管规则》 《上海证券 交易所股票上市规则》 《上海证券交易所上市公司自律监管指引第1 号——规范运作》 等有关规定，对兆易创新使用 A 股部分募集资金向全资子公司增资以实施 DRAM 募投 项目的事项进行了审慎核查，核查意见如下：…,该事实直接观察到相关指标或里程碑，提高“新品研发与产能储备按计划推进，不出现存货大额跌价”的可信度。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
98,G3-E073,比亚迪,002594,新能源汽车,A股,2025-10-09T00:00:00+08:00,仅日期（按盘后处理）,2025年9月产销快报,http://static.cninfo.com.cn/finalpage/2025-10-09/1224697528.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,"公司披露2025年9月产销快报，核心事实为：没有虚假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司(以下简称“本公司”)2025年9月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 405,554 441,052 3,213,569 2,760,910…",产销/需求,H1-需求与出货,中性,中,直接,"第1页：没有虚假记载、误导性陈述或重大遗漏。 比亚迪股份有限公司(以下简称“本公司”)2025年9月产销快报数据如下： 单位：辆 产量 销量 项目类别 本月 去年同期 本年累计 去年累计 累计同比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 405,554 441,052 3,213,569 2,760,910 16.40% 396,270 419,426 3,260,146 2,747,875 18.64% -乘用车 402,008 439,229 3,171,466 2,749,436 15.35% 393,060 417,603 3,218,862 2,736,401 17.63%…",前九月新能源汽车累计销量同比增长18.64%，但9月单月销量同比下降约5.5%，长期累计增长与短期回落并存，故对销量保持增长假设取中性、中强度。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
99,G3-E033,药明康德,603259,医药,A股,2024-03-09T00:00:00+08:00,仅日期（按盘后处理）,关于回购注销部分股票通知债权人的公告,http://static.cninfo.com.cn/finalpage/2024-03-09/1219267101.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,公告披露关于回购注销部分股票通知债权人的公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：1 证券代码：603259 证券简称：药明康德 公告编号：临 2024-022 无锡药明康德新药开发股份有限公司 关于回购注销部分股票通知债权人的公告 公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 2023 年 5 月 31 日，无锡药明康德新药开发股份有限公司（以下简称“本公 司”或“公司”）召开2022 年年度股东大会、2023 年第一次 A 股类别股东会议 和2023 年第一次 H 股类别股东会议，审议通过了《关于给予董事会回购公司A 股和/或 H 股股份一般性授权的议案》 ，授权董事会按照所适用的法律法,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
100,G3-E025,恒瑞医药,600276,医药,A股,2025-03-31T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药2024年年度报告,http://static.cninfo.com.cn/finalpage/2025-03-31/1222961962.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,"公司披露恒瑞医药2024年年度报告，核心事实为：姓名 李莉 张丽 七、 近三年主要会计数据和财务指标 (一) 主要会计数据 单位：元 币种：人民币 主要会计数据 2024年 2023年 本期比上 年同期增 减（%） 2022年 营业收入 27,984,605,342.06 22,819,784,741.31 22.63 21,275,270,681.52 归属于上市…",收入/利润,H1-需求与出货,支持,高,直接,"第6页：姓名 李莉 张丽 七、 近三年主要会计数据和财务指标 (一) 主要会计数据 单位：元 币种：人民币 主要会计数据 2024年 2023年 本期比上 年同期增 减（%） 2022年 营业收入 27,984,605,342.06 22,819,784,741.31 22.63 21,275,270,681.52 归属于上市公司股东 的净利润 6,336,527,014.75 4,302,435,930.05 47.28 3,906,375,067.36",2024年创新药销售收入138.92亿元、同比增长30.60%，并带动总收入增长22.63%，直接验证创新药放量与收入接续，主要关联H1且强度高。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
101,G3-E118,兆易创新,603986,芯片半导体,A股,2025-08-23T00:00:00+08:00,仅日期（按盘后处理）,兆易创新2025年半年度报告摘要,http://static.cninfo.com.cn/finalpage/2025-08-23/1224559705.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,"公司披露兆易创新2025年半年度报告摘要，核心事实为：39 2.97 归属于上市公司股东的 净资产 17,239,898,549.79 16,498,507,838.97 4.49 本报告期 上年同期 本报告期比上年同期增 减(%) 营业收入 4,150,308,632.88 3,609,037,320.17 15.00 利润总额 596,079,141.41 527,8…",收入/利润,H2-盈利质量,支持,中,直接,"第2页：39 2.97 归属于上市公司股东的 净资产 17,239,898,549.79 16,498,507,838.97 4.49 本报告期 上年同期 本报告期比上年同期增 减(%) 营业收入 4,150,308,632.88 3,609,037,320.17 15.00 利润总额 596,079,141.41 527,876,598.04 12.92",该事实直接观察到相关指标或里程碑，提高“毛利率随产品结构改善回升，不因存储价格波动持续走低”的可信度。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
102,G3-E104,北方华创,002371,芯片半导体,A股,2024-10-30T00:00:00+08:00,仅日期（按盘后处理）,2024年三季度报告,http://static.cninfo.com.cn/finalpage/2024-10-30/1221555085.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,"公司披露2024年三季度报告，核心事实为：要财务数据 （一）主要会计数据和财务指标 公司是否需追溯调整或重述以前年度会计数据 □是 否 本报告期 本报告期比上年同 期增减 年初至报告期末 年初至报告期末 比上年同期增减 营业收入（元） 8,017,863,754.89 30.12% 20,352,770,959.17 39.51% 归属于上市公司股东 的净利…",收入/利润,H1-需求与出货,支持,高,直接,"第1页：要财务数据 （一）主要会计数据和财务指标 公司是否需追溯调整或重述以前年度会计数据 □是 否 本报告期 本报告期比上年同 期增减 年初至报告期末 年初至报告期末 比上年同期增减 营业收入（元） 8,017,863,754.89 30.12% 20,352,770,959.17 39.51% 归属于上市公司股东 的净利润（元） 1,681,917,060.31 55.02% 4,462,521,361.56 54.72% 归属于上市公司股东 的扣除非经常性损益 的净利润（元） 1,626,040,068.28 57.72% 4,265,942,267.45 61.58% 经营活动产生的现金 流…",前三季度电子工艺装备收入同比增长46.96%，带动总收入增长39.51%，直接反映设备需求和交付扩张，主要关联H1且强度高。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
103,G3-E101,吉利汽车,00175,新能源汽车,港股,2026-02-01T21:20:12+08:00,精确,未经审核之二零二六年一月销量,http://static.cninfo.com.cn/finalpage/2026-02-01/1224961027.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,"公司披露未经审核之二零二六年一月销量，核心事实为：核之 二零二 六 年 一 月 銷量 吉利汽車控股有限公司( 「 本公司 」， 連同其附屬公司統稱為 「 本集團 」 ） 董事會欣然宣佈， 本集團於二零二 六 年 一 月 的 汽車 總銷量為270,167 部， 較去年同期 增長約1 % ， 其中出口總 銷量和極氪品牌總銷量 均 較去年同期實現翻倍增長。 詳細如下： 品牌…",产销/需求,H1-需求与出货,支持,低,直接,"第1页：核之 二零二 六 年 一 月 銷量 吉利汽車控股有限公司( 「 本公司 」， 連同其附屬公司統稱為 「 本集團 」 ） 董事會欣然宣佈， 本集團於二零二 六 年 一 月 的 汽車 總銷量為270,167 部， 較去年同期 增長約1 % ， 其中出口總 銷量和極氪品牌總銷量 均 較去年同期實現翻倍增長。 詳細如下： 品牌 本月 （部） 去年同期 （部） 同比變動 (%) 今年累計 （部） 去年同期累計 （部） 同比變動 (%) 吉利 217,438 224,718 -3 217,438 224,718 -3 其中: 銀河 82,990 93,545 -11 82,990 93,545 -11 領…",1月总销量同比仅增长约1%，虽然出口和极氪品牌销量翻倍，但主品牌和银河同比下降，整体为直接但较弱、结构分化的支持信号。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
104,G3-E008,吉利汽车,00175,新能源汽车,港股,2026-07-23T17:48:11+08:00,精确,自愿公布收购西班牙一间目标公司34%的股权及成立一间合营公司从事乘用车合约生产,http://static.cninfo.com.cn/finalpage/2026-07-23/1225439110.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,公司披露自愿公布收购西班牙一间目标公司34%的股权及成立一间合营公司从事乘用车合约生产，核心事实为：佈全部或任何部份內容而產生 或因倚賴該等內容而引致之任何損失承擔任何責任。 GEELY AUTO MOBILE HOL DINGS LIMI TED 175 80175 自願公佈 收購西班牙一間目標公司34%的股權 及 成立一間合營公司從事乘用車合約生產 本公司之財務顧問 收購事項 於二零二六年七月二十三日，Geely…,产能/资本开支,H3-产能与扩张,支持,中,间接,第1页：佈全部或任何部份內容而產生 或因倚賴該等內容而引致之任何損失承擔任何責任。 GEELY AUTO MOBILE HOL DINGS LIMI TED 175 80175 自願公佈 收購西班牙一間目標公司34%的股權 及 成立一間合營公司從事乘用車合約生產 本公司之財務顧問 收購事項 於二零二六年七月二十三日，Geely SPV （本公司之全資附屬公司） 、Ford NL、目標公 司、福特母公司及本公司訂立股份購買協議，據此，Geely SPV有條件同意收購及Ford NL有條件同意出售目標公司之34%股權，代價為221百萬歐元，但於完成時需根據目 標公司之淨債務、營運資金狀況及資產範圍，按慣例…,收购西班牙工厂股权并成立合营公司开展合约生产，体现海外产能布局推进；但交易尚待完成且对整合损失的影响需经运营结果验证，故为间接、中强度支持。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
105,G3-E034,兆易创新,603986,芯片半导体,A股,2024-08-21T00:00:00+08:00,仅日期（按盘后处理）,兆易创新2024年半年度募集资金存放与实际使用情况专项报告,http://static.cninfo.com.cn/finalpage/2024-08-21/1220923954.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,公司披露兆易创新2024年半年度募集资金存放与实际使用情况专项报告，核心事实为：于使用部分闲置募集资金暂时补充流动资金的议案》，公司拟使 用额度不超过 20 亿元人民币的部分闲置募集资金暂时补充流动资金，使用期限自公司 董事会审议通过之日起不超过 12 个月，募投项目需要或到期时将归还至募集资金专户。 截至2024 年 6 月 30 日，公司使用闲置募集资金暂时补充流动资金金额为 20 亿元。 （…,产能/资本开支,H3-产能与扩张,支持,中,直接,第3页：于使用部分闲置募集资金暂时补充流动资金的议案》，公司拟使 用额度不超过 20 亿元人民币的部分闲置募集资金暂时补充流动资金，使用期限自公司 董事会审议通过之日起不超过 12 个月，募投项目需要或到期时将归还至募集资金专户。 截至2024 年 6 月 30 日，公司使用闲置募集资金暂时补充流动资金金额为 20 亿元。 （四）2024 年 1-6 月对闲置募集资金进行现金管理，投资相关产品情况 公司于2023 年4 月26 日召开了第四届董事会第九次会议及第四届监事会第八次会 议， 审议通过了 《关于使用2020 年非公开发行股票闲置募集资金进行现金管理的议案》 ， 在确保不影响募集资金投资项目建…,截至2024年6月募投项目已累计投入约15.01亿元并用于DRAM等项目；闲置资金补流明确以不影响募投项目为前提，不能据此认定扩张受阻，整体为中强度支持。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
106,G3-E024,中芯国际,688981,芯片半导体,A股,2025-04-01T00:00:00+08:00,仅日期（按盘后处理）,港股公告：翌日披露报表,http://static.cninfo.com.cn/finalpage/2025-04-01/1222973643.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,公告披露港股公告：翌日披露报表相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,"第1页：FF305 ∉  ၵರ஼੝Ḹі ٺܢ ⦁ğௐ ⊯Ⅲğࢌ ඳ଀Ẁğඳ ರ௹ğ ୍ᄅರ  ඳ(&.⊈ಊ ၂ᅣᾳb ၂ᅣᾳ ٳٺܢܢ⦁ ҂ℳႨ෮ഈ൧ ൞ ⊈ಊսὂ ೂഈ൧  䪌ૼܢۖ ṉọ ࡱ Ďṉọ Ď⅂ ଢ Ⴕၘứ ܢ б 䩏 ṉọ ଢ ứྛԛ൲ᾁ 䩏 ⊺⅂ ᾵թ 䩏 ୍ᄅರ          ௹⃴ ܢ ί὏ ᧄ୍ᄅರὤ㍇ₑ ṉọರ௹ ୍ᄅರ     ),% ",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
107,G3-E092,比亚迪,002594,新能源汽车,A股,2024-01-30T00:00:00+08:00,仅日期（按盘后处理）,2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-30/1219028933.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,"公司披露2023年度业绩预告，核心事实为：绩预告期间：2023 年 1 月 1 日至 12 月 31 日 2.预计的业绩情况： 亏损 扭亏为盈 √同向上升 同向下降 项 目 本报告期 上年同期 归属于上市公司 股东的净利润 盈利：人民币2,900,000万元– 3,100,000万元 盈利：人民币1,662,245万元 比上年同期上升：74.46%-86…",收入/利润,H2-盈利质量,支持,高,直接,"第1页：绩预告期间：2023 年 1 月 1 日至 12 月 31 日 2.预计的业绩情况： 亏损 扭亏为盈 √同向上升 同向下降 项 目 本报告期 上年同期 归属于上市公司 股东的净利润 盈利：人民币2,900,000万元– 3,100,000万元 盈利：人民币1,662,245万元 比上年同期上升：74.46%-86.49% 扣除非经常性损 益后的净利润 盈利：人民币2,740,000万元– 2,970,000万元（注1） 盈利：人民币1,563,779万元 比上年同期上升：75.22%-89.92% 基本每股收益 盈利：人民币9.98元/股至10.67元/股 盈利：人民币5.71元/股 注…",该事实直接观察到相关指标或里程碑，提高“规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化”的可信度。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
108,G3-E071,兆易创新,603986,芯片半导体,A股,2025-04-26T00:00:00+08:00,仅日期（按盘后处理）,兆易创新关于使用闲置募集资金进行现金管理的公告,http://static.cninfo.com.cn/finalpage/2025-04-26/1223305106.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,公司披露兆易创新关于使用闲置募集资金进行现金管理的公告，核心事实为：1 证券代码：603986 证券简称：兆易创新 公告编号：2025-012 兆易创新科技集团股份有限公司 关于使用闲置募集资金进行现金管理的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 重要内容提示：  现金管理投资产品：安全…,融资/现金流,无关,无关,不适用,不适用,第1页：1 证券代码：603986 证券简称：兆易创新 公告编号：2025-012 兆易创新科技集团股份有限公司 关于使用闲置募集资金进行现金管理的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 重要内容提示：  现金管理投资产品：安全性高、流动性好、有保本约定的银行理财产品 和结构性存款。  现金管理金额：最高额度不超过5亿元的闲置募集资金，在上述额度范围 内，资金可在12个月内滚动使用。  现金管理期限：自董事会审议通过之日起一年内有效。购买的理财产品 或结构性存款期限不得超过十二个月，不得影响公司正常…,使用不超过5亿元闲置募集资金购买保本、高流动性产品，且明确不得影响募投项目，只是资金管理安排，未改变需求、毛利率、新品研发、产能储备或存货减值判断。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
109,G3-E094,兆易创新,603986,芯片半导体,A股,2026-03-31T00:00:00+08:00,仅日期（按盘后处理）,兆易创新2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-03-31/1225061352.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,"公司披露兆易创新2025年年度报告，核心事实为：本次实际参与利润分配的股份为700,499,431股，以此为基数，公司本次合计拟派发现 金红利人民币525,374,573.25元， 占公司2025年度合并财务报表归属上市公司股东净利润的31.88% 。公司本次现金分红以人民币计值和宣布，以人民币向A股股东支付，以港币向H股股东支付。H 股股息折算之实际金额，将按照公…",收入/利润,H2-盈利质量,支持,高,直接,"第2页：本次实际参与利润分配的股份为700,499,431股，以此为基数，公司本次合计拟派发现 金红利人民币525,374,573.25元， 占公司2025年度合并财务报表归属上市公司股东净利润的31.88% 。公司本次现金分红以人民币计值和宣布，以人民币向A股股东支付，以港币向H股股东支付。H 股股息折算之实际金额，将按照公司2025年度股东会召开当日中国人民银行公布的人民币兑换港 币的汇率中间价计算。 2025年度，公司不进行资本公积金转增股本，不送红股。 公司回购专用证券账户中的股份不参与本次利润分配。公司本次董事会审议通过之日起至实 施权益分派的股权登记日期间，因股份增发、股份回购、股票期权行…",该事实直接观察到相关指标或里程碑，提高“毛利率随产品结构改善回升，不因存储价格波动持续走低”的可信度。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
110,G3-E057,云南白药,000538,医药,A股,2026-04-01T00:00:00+08:00,仅日期（按盘后处理）,云南白药集团股份有限公司董事和高级管理人员所持公司股份及其变动管理制度,http://static.cninfo.com.cn/finalpage/2026-04-01/1225067998.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,公告披露云南白药集团股份有限公司董事和高级管理人员所持公司股份及其变动管理制度相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：1 / 9 云南白药集团股份有限公司 董事和高级管理人员所持公司股份 及其变动管理制度 （2026 年 3 月） 第一章 总则 第一条 为加强对云南白药集团股份有限公司(以下简称“公司”)董事和 高级管理人员所持公司股份及其变动的管理，根据《中华人民共和国公司法》 (以下简称“《公司法》”)《中华人民共和国证券法》(以下简称“《证券法》”) 《上市公司董事和高级管理人员所持本公司股份及其变动管理规则》《深圳 证券交易所上市公司自律监管指引第10 号——股份变动管理》《深圳证券交 易所上市公司自律监管指引第18 号——股东及董事、高级管理人员减持股份》 《关于短线交易监管的若干规定》以及《云南白…,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
111,G3-E044,中芯国际,688981,芯片半导体,A股,2025-11-14T00:00:00+08:00,仅日期（按盘后处理）,中芯国际关于2025年前三季度计提资产减值准备的公告,http://static.cninfo.com.cn/finalpage/2025-11-14/1224804088.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,公司披露中芯国际关于2025年前三季度计提资产减值准备的公告，核心事实为：A股代码：688981 A股简称：中芯国际 公告编号：2025-031 港股代码：00981 港股简称：中芯国际 中芯国际集成电路制造有限公司 关于 2025 年前三季度计提资产减值准备的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈 述或者重大遗漏，并对其内容的真实性、准确性和完整性依法承担法…,风险/合规,H3-产能与扩张,冲突,高,直接,第1页：A股代码：688981 A股简称：中芯国际 公告编号：2025-031 港股代码：00981 港股简称：中芯国际 中芯国际集成电路制造有限公司 关于 2025 年前三季度计提资产减值准备的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈 述或者重大遗漏，并对其内容的真实性、准确性和完整性依法承担法律责任。 一、本次计提减值准备的情况概述 中芯国际集成电路制造有限公司（以下简称“公司”）根据《企业会计准 则》以及公司会计政策的相关规定，为客观、公允地反映公司截至2025 年 9 月 30 日的合并财务状况及 2025 年前三季度的经营成果。基于谨慎性原则，公司 对合并范围内…,该事实直接观察到相关指标或里程碑，降低“资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值”的可信度。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
